Número do REDS;Tipo de Relatório;Data/Hora de Criação do Registro;Data/Hora do Fato;Natureza Principal;Endereço do Fato;Município do Fato;Unidade Responsável pelo Registro;Número do BO
2025-053600278-001;POLICIAL;19/11/2025 13:15;19/11/2025 11:56;FURTO C01155 ;RUA ANTONIO RAPOSO  /  - JARDIM DOS BANDEIRANTES - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-053663428-001;POLICIAL;19/11/2025 18:23;19/11/2025 17:54;APLICACAO  MEDIDAS ADM PREVISTAS NO ARTIGO 269 DO CTB T10161 ;RUA FRANCISCO ALVES  /  - PARQUE SAO JOAO - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-054044026-001;POLICIAL;22/11/2025 10:43;22/11/2025 10:40;TRAFICO ILICITO DE DROGAS PORTE ILEGAL ARMA DE FOGO/ACESSÓRIO/MUNIÇÃO DE USO PERMITIDO I04033 E03014 ;BECO CRUZEIRO DO SUL  /  - CIDADE INDUSTRIAL - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-054499426-001;POLICIAL;25/11/2025 12:36;25/11/2025 04:00;HOMICIDIO B01121 ;BECO MACHADO DE ASSIS  /  - PARQUE SAO JOAO - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-054784730-001;POLICIAL;27/11/2025 00:42;27/11/2025 00:10;PORTE ILEGAL ARMA DE FOGO/ACESSÓRIO/MUNIÇÃO DE USO PERMITIDO DESOBEDECER A ORDEM LEGAL  E03014 A80067 ;AVENIDA CRISTAL  /  - FLAMENGO - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-050669646-001;POLICIAL;01/11/2025 20:47;01/11/2025 20:23;AMEACA RESISTENCIA DESOBEDECER A ORDEM LEGAL  DESACATO B01147 G01329 A80067 G01331 ;PRACA MARILIA DE DIRCEU  /  - INCONFIDENTES - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-052272100-001;POLICIAL;11/11/2025 15:08;11/11/2025 14:54;CUMPRIMENTO DE PRISAO Y10003 ;AVENIDA AGUA BRANCA  /  - JARDIM DOS BANDEIRANTES - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-052853900-001;POLICIAL;14/11/2025 19:09;14/11/2025 19:08;CUMPRIMENTO DE PRISAO Y10003 ;AVENIDA FRANCISCO FIRMO DE MATOS  /  - CIDADE INDUSTRIAL - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-054876994-001;POLICIAL;27/11/2025 15:54;27/11/2025 15:22;VEICULO LOCALIZADO / RECUPERADO A16000 ;RUA EVANDRO MARGARIDO DOS SANTOS  /  - INDUSTRIAL - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
2025-055282436-001;POLICIAL;30/11/2025 10:15;30/11/2025 10:09;TRAFICO ILICITO DE DROGAS I04033 ;RUA ITATIAIA  /  - BANDEIRANTES - CONTAGEM;CONTAGEM;84 CIA TM/39 BPM/2 RPM M6428;
